Strategy 1000 of 1000 done.
Strategy: {:gold=>1.1017305982156587, :food=>1.1122041454105898, :prestige=>1.0602940559596812, :reputation=>-1.1404464085773451, :power=>1.718938621430309, :risk=>-0.7141766157226948, :karma=>0.7024952440013803, :general=>1} won 39 timesStrategy: {:gold=>0.33789617760325164, :food=>0.4760935531262869, :prestige=>0.861066608367079, :reputation=>-0.5012652592678895, :power=>1.6766669300989245, :risk=>0.5141521243148777, :karma=>1.4361809811861792, :general=>1} won 39 timesStrategy: {:gold=>1.1277264562879148, :food=>0.3386252989407492, :prestige=>1.1938632604358113, :reputation=>1.0641440115505727, :power=>1.0420477224802398, :risk=>-0.7822475728199956, :karma=>0.6470667780488373, :general=>1} won 39 timesStrategy: {:gold=>1.550445985928652, :food=>1.0691673135740356, :prestige=>0.23722038811012092, :reputation=>-0.26796495630621786, :power=>1.6649777929974232, :risk=>-0.45465162268410353, :karma=>0.0645720610929188, :general=>1} won 38 times
Strategy: {:gold=>1.6383898846900178, :food=>1.0040477054850088, :prestige=>0.3654590004681473, :reputation=>-0.10968931459407294, :power=>1.3605377328387287, :risk=>-1.1140474205486208, :karma=>1.6618617611505113, :general=>1} won 38 times
Strategy: {:gold=>0.6737047725130927, :food=>0.6334527202351699, :prestige=>1.6254990896910444, :reputation=>-0.9640285448009349, :power=>1.5804041249551295, :risk=>0.1360262504046883, :karma=>1.597476454215568, :general=>1} won 37 times Strategy: {:gold=>1.1784707980209503, :food=>1.4620745527467793, :prestige=>0.6830294400074988, :reputation=>-0.6743502151074274, :power=>1.2802375406867363, :risk=>-0.6860222994078178, :karma=>1.5023131597697166, :general=>1} won 36 times
Strategy: {:gold=>1.7709323226422145, :food=>1.7614904634951642, :prestige=>1.6210697893575776, :reputation=>0.19784150565835956, :power=>1.9437455104041823, :risk=>-0.7386640544391831, :karma=>1.7156795138656828, :general=>1} won 36 times
Strategy: {:gold=>0.02504387079986614, :food=>1.1539188555138569, :prestige=>1.7709689620266273, :reputation=>0.9457405876086415, :power=>1.7038612147798533, :risk=>0.23779656740328958, :karma=>1.1401122128333414, :general=>1} won 36 times
Strategy: {:gold=>0.013049718633601382, :food=>1.392990104369361, :prestige=>0.3004381979419146, :reputation=>-0.08631755298522137, :power=>0.9845118658150931, :risk=>0.8645717616360828, :karma=>1.5513889614691676, :general=>1} won 36 times
Strategy: {:gold=>1.4836989546744321, :food=>0.07114729123793095, :prestige=>0.15922870357437535, :reputation=>-0.7775330372962057, :power=>1.5540827137940547, :risk=>-0.10270762715181991, :karma=>0.18931190557691635, :general=>1} won 36 times
Strategy: {:gold=>0.13385041385965768, :food=>1.1704175404484642, :prestige=>0.16503477300226987, :reputation=>-0.12478678769380602, :power=>1.72170755177495, :risk=>-1.2748945864369607, :karma=>0.16257733359633608, :general=>1} won 36 times
Strategy: {:gold=>0.2720871497317494, :food=>0.16473019304685232, :prestige=>1.5790072674342988, :reputation=>0.11214187514239748, :power=>1.6304981901498379, :risk=>-0.09064684943185686, :karma=>0.10314463426184317, :general=>1} won 36 times
Strategy: {:gold=>0.28623812709731444, :food=>0.2301393708151167, :prestige=>1.0281286370402851, :reputation=>-0.9959701931122984, :power=>1.1792722002157667, :risk=>0.44197963099137016, :karma=>1.1221708237429935, :general=>1} won 35 times
Strategy: {:gold=>0.6732076168682635, :food=>0.379233198531264, :prestige=>0.19392331781546046, :reputation=>1.0884585323331746, :power=>-0.407252989087731, :risk=>0.5298571525275899, :karma=>0.27295254051863127, :general=>1} won 35 times
Strategy: {:gold=>1.1557443762182458, :food=>0.3276659821858887, :prestige=>0.7610272524033452, :reputation=>-0.9704935784725626, :power=>1.8833625064451658, :risk=>0.8444222106240864, :karma=>0.5447245688491757, :general=>1} won 35 times
